,KALCODE,neighbors
0,01010101,"['01010304', '01010301', '01040202', '01010201', '01010109', '01010104', '01010101', '01010105', '01010108', '01010107', '01030306', '01030302', '01010110']"
1,01010102,"['01040202', '01020106', '01020104', '01010104', '01010102', '01020107', '01020113', '01010103', '01010111']"
2,01010103,"['01010102', '01020107', '01020113', '01020116', '01010103', '01010112', '01010111', '01020114', '01020118']"
3,01010104,"['01040202', '01010104', '01010101', '01010102', '01010108', '01010111', '01010106']"
4,01010105,"['01010109', '01010101', '01010105']"
5,01010106,"['01010104', '01010108', '01010107', '01010111', '01020118', '01020110', '01020105', '01010110', '01010106', '01020112', '01020401']"
6,01010107,"['01010101', '01010108', '01010107', '01010110', '01010106']"
7,01010108,"['01010104', '01010101', '01010108', '01010107', '01010111', '01010106']"
8,01010109,"['01010301', '01010303', '01040202', '01010109', '01010101', '01010105']"
9,01010110,"['01010101', '01010107', '01030302', '01010110', '01010106']"
10,01010111,"['01010104', '01010102', '01010108', '01010103', '01010112', '01010111', '01020118', '01010106']"
11,01010112,"['01010103', '01010112', '01010111', '01020118']"
12,01010201,"['01010304', '01010209', '01010204', '01010201', '01030102', '01010101', '01010205', '01030306', '01030305']"
13,01010202,"['01010210', '01010208', '01010202', '01010206']"
14,01010203,"['01010208', '01010203', '01010206', '01010304', '01010209']"
15,01010204,"['01010209', '01010207', '01010204', '01010201', '01030102']"
16,01010205,"['01010201', '01030102', '01010205', '01030305', '01030301']"
17,01010206,"['01010210', '01010208', '01010202', '01010203', '01010206', '01010209', '01030103']"
18,01010207,"['01010209', '01030103', '01010207', '01010204', '01030102', '01030101']"
19,01010208,"['01010208', '01010202', '01010203', '01010206']"
20,01010209,"['01010203', '01010206', '01010304', '01010209', '01030103', '01010207', '01010204', '01010201']"
21,01010210,"['01010210', '06020204', '01010202', '01010206', '01030103']"
22,01010301,"['01040203', '01040201', '01010304', '01010301', '01010302', '01010303', '01010109', '01010101']"
23,01010302,"['01040201', '01040206', '01010301', '01010302', '01010303']"
24,01010303,"['01040205', '01040206', '01010301', '01010302', '01010303', '01040202', '01010109']"
25,01010304,"['01040203', '01010203', '01010304', '01010209', '01010301', '01010201', '01010101']"
26,01020101,"['01020209', '01020117', '01020204', '01020101', '01020108', '01020102', '01020115']"
27,01020102,"['01020101', '01020108', '01020102', '01020115', '01020109', '01020120']"
28,01020103,"['01020108', '01020114', '01020103', '01020120', '01020110']"
29,01020104,"['01020106', '01040103', '01020104', '01020117', '01010102', '01020107']"
30,01020105,"['01020118', '01020110', '01020105', '01010106']"
31,01020106,"['01040202', '01020106', '01040103', '01020104', '01020117', '01010102']"
32,01020107,"['01020104', '01020117', '01010102', '01020107', '01020113', '01010103']"
33,01020108,"['01020117', '01020101', '01020113', '01020116', '01020108', '01020114', '01020103', '01020102', '01020120']"
34,01020109,"['01020102', '01020115', '01020109', '01020120', '01020119', '01020110', '01020401']"
35,01020110,"['01020114', '01020103', '01020118', '01020109', '01020120', '01020110', '01020105', '01010106', '01020112', '01020401']"
36,01020111,"['01020212', '01020119', '01020111', '01020301', '01020401']"
37,01020112,"['01020110', '01010106', '01020112', '01020401']"
38,01020113,"['01020117', '01010102', '01020107', '01020113', '01020116', '01010103', '01020108']"
39,01020114,"['01020116', '01010103', '01020108', '01020114', '01020103', '01020118', '01020110']"
40,01020115,"['01020204', '01020101', '01020213', '01020203', '01020102', '01020115', '01020109', '01020119']"
41,01020116,"['01020113', '01020116', '01010103', '01020108', '01020114']"
42,01020117,"['01040101', '01020209', '01020106', '01040103', '01020104', '01020117', '01040102', '01020101', '01020107', '01020113', '01020108']"
43,01020118,"['01010103', '01010112', '01010111', '01020114', '01020118', '01020110', '01020105', '01010106']"
44,01020119,"['01020203', '01020115', '01020212', '01020109', '01020119', '01020111', '01020401']"
45,01020120,"['01020108', '01020103', '01020102', '01020109', '01020120', '01020110', '01020401']"
46,01020201,"['01040104', '01020207', '01020209', '01040105', '01020201', '01020204', '01020206', '01020213', '01020203']"
47,01020202,"['03010103', '01020210', '01020205', '01020202', '01020214']"
48,01020203,"['01020201', '01020206', '01020213', '01020203', '01020115', '01020212', '01020119']"
49,01020204,"['01020209', '01020201', '01020204', '01020101', '01020213', '01020115']"
50,01020205,"['01040106', '01020210', '01040104', '01020205', '01020202', '01040105', '01020214', '01040109']"
51,01020206,"['01040105', '01020201', '01020206', '01020211', '01020203', '01020212']"
52,01020207,"['01040101', '01020208', '01040104', '01020207', '01020209', '01020201']"
53,01020208,"['01040101', '01020208', '01020207', '01020209']"
54,01020209,"['01040101', '01020208', '01020207', '01020209', '01020117', '01020201', '01020204', '01020101']"
