KALCODE,Result
01010101,"[2, 0, 2, 0, 0, 2, 2, 2, 1]"
01010102,"[1, 0, 2, 0]"
01010104,"[1, 2, 0, 0, 0]"
01010106,"[0, 1, 2]"
01010107,"[2, 0, 1]"
01010109,"[2, 1, 0, 1]"
01010112,[0]
01010201,"[1, 1, 1, 0, 1, 1, 1, 2]"
01010205,"[1, 2, 1, 0, 1]"
01010207,"[0, 1, 2, 0]"
01010209,"[2, 0, 0, 1]"
01010210,"[0, 1]"
01010303,"[1, 2, 2, 0]"
01010304,"[0, 1, 2, 0, 0]"
01020101,"[0, 1, 0, 0, 2]"
01020102,"[1, 0]"
01020104,"[0, 1, 2, 1]"
01020117,"[0, 2, 0, 0, 1, 0]"
01020201,"[0, 2, 1, 0, 1]"
01020202,"[1, 0]"
01020204,"[2, 1, 0, 1, 1]"
01020207,"[0, 0, 1, 2, 0]"
01020208,"[1, 1, 2, 0]"
01020209,"[0, 2, 0, 2, 2, 1, 2, 2]"
01020213,"[2, 1, 0]"
01030101,"[0, 1, 1, 0, 0, 2]"
01030102,"[1, 0, 0, 1, 1, 1, 2]"
01030301,"[2, 2, 0, 0, 1, 1]"
01030302,"[0, 0, 2, 1]"
01030305,"[1, 2, 1, 0, 1]"
01030306,"[0, 0, 0, 2, 1]"
01030307,"[2, 0, 0, 1]"
01040101,"[1, 2, 1, 0, 1, 1, 2]"
01040103,"[0, 0, 2, 0, 1]"
01040201,"[1, 2, 0]"
01040202,"[1, 0, 0, 2, 0, 0, 0, 0]"
01040203,"[1, 1, 0, 2]"
01040204,"[0, 1]"
01040205,"[0, 1, 2, 0]"
01040207,"[1, 1, 1, 2, 0]"
02010101,"[1, 2, 0, 0]"
02010104,"[0, 0, 1, 0, 2, 0]"
02010112,"[2, 1, 0]"
02010113,"[0, 0, 1, 0, 2, 2, 0]"
02020101,"[2, 2, 0, 2, 0, 1]"
02020105,"[2, 2, 0, 1]"
02020201,"[0, 0, 0, 0, 2, 1]"
02020202,"[1, 1, 1, 0, 2]"
02020204,"[0, 0, 0, 1, 0, 0, 2, 2]"
02020205,"[2, 0, 1]"
02030001,"[0, 1]"
02030015,"[0, 1]"
02040103,"[1, 2, 0]"
02040202,"[1, 1, 2, 0]"
02040204,[0]
02050101,"[1, 0, 2]"
02050104,"[1, 0]"
02050109,"[2, 0, 0, 1]"
02050201,"[0, 0, 2, 1]"
02050202,"[1, 0]"
02050203,"[2, 0, 0, 1]"
03010101,"[1, 2, 0]"
03010102,"[1, 2, 0]"
03010103,"[2, 1, 0, 1]"
03010105,"[0, 1]"
03010301,"[0, 1, 2]"
03010302,"[2, 0, 1]"
03010305,"[2, 0, 2, 2, 1]"
03020101,"[1, 0, 2]"
03020104,"[0, 0, 2, 0, 0, 1]"
03020114,[0]
03020115,"[0, 1, 2]"
03020201,"[1, 0]"
03020205,"[1, 0]"
03020208,"[0, 1]"
03030101,"[0, 2, 1, 2]"
03030104,"[2, 0, 1]"
03030105,"[2, 1, 0]"
03030107,"[2, 1, 0]"
03030201,"[2, 0, 1]"
03030203,"[1, 0, 2]"
03030204,"[2, 0, 0, 1]"
03030301,"[1, 2, 0]"
03030304,"[0, 1, 0, 0, 0, 2, 0]"
03030401,"[2, 0, 0, 1]"
03030402,"[0, 1, 2, 1]"
03030403,"[0, 0, 1, 2]"
03030405,"[1, 0, 0, 2, 0]"
03030409,"[2, 1, 0, 0, 1]"
03030412,"[0, 2, 1]"
03040000,[0]
03050101,"[0, 2, 1]"
03050103,"[1, 0]"
03050201,"[0, 1]"
03050202,"[1, 2, 0]"
03050206,"[1, 0]"
03050301,"[2, 1, 0]"
03050303,"[0, 1]"
03050304,"[0, 2, 0, 1]"
04010001,"[1, 2, 0]"
04010002,"[0, 1]"
04010003,[0]
04010004,"[1, 2, 0]"
04010008,"[0, 1, 2, 0]"
04010009,"[1, 0, 2]"
05010101,"[0, 1, 2, 2, 2]"
05010102,"[0, 1]"
05010201,"[1, 2, 2, 1, 0]"
05010203,"[2, 1, 0, 1]"
05010205,"[2, 2, 1, 0, 1]"
05010208,"[1, 0, 1, 2]"
05010210,"[1, 2, 1, 0, 0]"
05010211,"[0, 1, 0, 0, 0, 2]"
05020101,"[0, 2, 1, 2, 2]"
05020104,"[2, 1, 1, 0]"
05020106,"[0, 0, 2, 1, 0]"
05020110,"[2, 2, 1, 0, 2]"
05020111,"[0, 2, 1]"
05020112,"[2, 1, 0, 2]"
05020113,"[1, 0, 2]"
05020201,"[0, 1]"
05030101,"[1, 1, 1, 1, 0, 1, 2]"
05030102,"[1, 2, 0, 1, 1]"
05030103,"[0, 1, 2]"
05030105,"[1, 0, 1, 0, 1, 1, 2]"
05030201,"[2, 0, 1, 1]"
05030203,"[0, 1, 2]"
