,KALCODE,Result,Average_Fuel_Price
0,01010101,"[2, 0, 2, 0, 0, 2, 2, 2, 1]",1.3491484847777202
1,01010102,"[1, 0, 2, 0]",1.3089779053084647
2,01010104,"[1, 2, 0, 0, 0]",1.2803114698909435
3,01010106,"[0, 1, 2]",1.3476219202377528
4,01010107,"[2, 0, 1]",1.3691012700217988
5,01010109,"[2, 1, 0, 1]",1.4019572446555817
6,01010112,[0],1.5279997184684684
7,01010201,"[1, 1, 1, 0, 1, 1, 1, 2]",1.3612973081653892
8,01010205,"[1, 2, 1, 0, 1]",1.4597399883500801
9,01010207,"[0, 1, 2, 0]",1.3544052863436125
10,01010209,"[2, 0, 0, 1]",1.3443577746077033
11,01010210,"[0, 1]",1.2109173878835562
12,01010303,"[1, 2, 2, 0]",1.340024034334764
13,01010304,"[0, 1, 2, 0, 0]",1.3276598188288582
14,01020101,"[0, 1, 0, 0, 2]",1.363596921322691
15,01020102,"[1, 0]",1.32850139275766
16,01020104,"[0, 1, 2, 1]",1.3509744374821988
17,01020117,"[0, 2, 0, 0, 1, 0]",1.2174870075440067
18,01020201,"[0, 2, 1, 0, 1]",1.3652433500964671
19,01020202,"[1, 0]",1.3538364833906071
20,01020204,"[2, 1, 0, 1, 1]",1.3454437962435968
21,01020207,"[0, 0, 1, 2, 0]",1.3444142051429118
22,01020208,"[1, 1, 2, 0]",1.368587407617965
23,01020209,"[0, 2, 0, 2, 2, 1, 2, 2]",1.396601685660019
24,01020213,"[2, 1, 0]",1.3582709106480158
25,01030101,"[0, 1, 1, 0, 0, 2]",1.3496084439197042
26,01030102,"[1, 0, 0, 1, 1, 1, 2]",1.529830014124294
27,01030301,"[2, 2, 0, 0, 1, 1]",1.3217657781862746
28,01030302,"[0, 0, 2, 1]",1.3327605042016806
29,01030305,"[1, 2, 1, 0, 1]",1.1682129485179407
30,01030306,"[0, 0, 0, 2, 1]",1.3441001150747989
31,01030307,"[2, 0, 0, 1]",1.2094460317460318
32,01040101,"[1, 2, 1, 0, 1, 1, 2]",1.3029416428978893
33,01040103,"[0, 0, 2, 0, 1]",1.2541782766589633
34,01040201,"[1, 2, 0]",1.289760076775432
35,01040202,"[1, 0, 0, 2, 0, 0, 0, 0]",1.2713719055843407
36,01040203,"[1, 1, 0, 2]",1.3722020547945206
37,01040204,"[0, 1]",1.3210423850574715
38,01040205,"[0, 1, 2, 0]",1.3575322580645166
39,01040207,"[1, 1, 1, 2, 0]",1.359207869974337
40,02010101,"[1, 2, 0, 0]",1.3367203666573175
41,02010104,"[0, 0, 1, 0, 2, 0]",1.2623146678424457
42,02010112,"[2, 1, 0]",1.3379786154575628
43,02010113,"[0, 0, 1, 0, 2, 2, 0]",1.3429354890092386
44,02020101,"[2, 2, 0, 2, 0, 1]",1.3364284090909093
45,02020105,"[2, 2, 0, 1]",1.3144987682395302
46,02020201,"[0, 0, 0, 0, 2, 1]",1.307479092382496
47,02020202,"[1, 1, 1, 0, 2]",1.331368664994162
48,02020204,"[0, 0, 0, 1, 0, 0, 2, 2]",1.3444965662593542
49,02020205,"[2, 0, 1]",1.3207435055666572
50,02030001,"[0, 1]",1.3862451023391813
51,02030015,"[0, 1]",1.3582982954545455
52,02040103,"[1, 2, 0]",1.2333560606060605
53,02040202,"[1, 1, 2, 0]",1.473066783831283
54,02040204,[0],1.2719849056603774
55,02050101,"[1, 0, 2]",1.353319198973774
56,02050104,"[1, 0]",1.2685944700460827
57,02050109,"[2, 0, 0, 1]",1.34507724293122
58,02050201,"[0, 0, 2, 1]",1.3081774566473987
59,02050202,"[1, 0]",1.3136264457717104
60,02050203,"[2, 0, 0, 1]",1.3525574859963923
