KALCODE,Result
01010101,"[2, 1, 1, 1, 1, 1, 1, 1, 0]"
01010102,"[0, 1, 0, 2]"
01010104,"[0, 2, 1, 1, 1]"
01010106,"[0, 1, 2]"
01010107,"[0, 2, 1]"
01010109,"[1, 0, 2, 0]"
01010112,[0]
01010201,"[1, 1, 1, 2, 1, 1, 1, 0]"
01010205,"[1, 2, 2, 0, 1]"
01010207,"[0, 1, 2, 0]"
01010209,"[2, 0, 0, 1]"
01010210,"[1, 0]"
01010303,"[1, 0, 2, 2]"
01010304,"[0, 1, 2, 0, 0]"
01020101,"[0, 2, 0, 0, 1]"
01020102,"[1, 0]"
01020104,"[0, 2, 1, 2]"
01020117,"[1, 0, 1, 1, 2, 1]"
01020201,"[2, 0, 1, 2, 1]"
01020202,"[1, 0]"
01020204,"[2, 1, 0, 1, 1]"
01020207,"[0, 1, 0, 2, 1]"
01020208,"[1, 2, 1, 0]"
01020209,"[0, 0, 0, 2, 0, 1, 0, 0]"
01020213,"[2, 0, 1]"
01030101,"[1, 0, 0, 1, 1, 2]"
01030102,"[0, 1, 1, 0, 0, 0, 2]"
01030301,"[0, 2, 1, 2, 1, 1]"
01030302,"[0, 0, 2, 1]"
01030305,"[1, 2, 1, 0, 1]"
01030306,"[1, 1, 1, 2, 0]"
01030307,"[2, 1, 1, 0]"
01040101,"[0, 1, 0, 2, 0, 0, 1]"
01040103,"[1, 1, 2, 1, 0]"
01040201,"[0, 2, 1]"
01040202,"[1, 0, 2, 0, 2, 2, 2, 2]"
01040203,"[1, 1, 2, 0]"
01040204,"[0, 1]"
01040205,"[1, 0, 2, 1]"
01040207,"[1, 1, 1, 0, 2]"
02010101,"[0, 2, 1, 1]"
02010104,"[0, 0, 1, 0, 2, 0]"
02010112,"[2, 1, 0]"
02010113,"[1, 1, 0, 1, 2, 2, 1]"
02020101,"[1, 1, 1, 1, 2, 0]"
02020105,"[1, 1, 2, 0]"
02020201,"[1, 1, 1, 1, 2, 0]"
02020202,"[1, 1, 1, 2, 0]"
02020204,"[0, 0, 0, 1, 0, 0, 2, 2]"
02020205,"[0, 2, 1]"
02030001,"[1, 0]"
02030015,"[0, 1]"
02040103,"[0, 2, 1]"
02040202,"[0, 0, 2, 1]"
02040204,[0]
02050101,"[1, 0, 2]"
02050104,"[1, 0]"
02050109,"[2, 0, 2, 1]"
02050201,"[0, 2, 0, 1]"
02050202,"[0, 1]"
02050203,"[2, 0, 0, 1]"
03010101,"[1, 0, 2]"
03010102,"[2, 1, 0]"
03010103,"[0, 2, 1, 0]"
