,KALCODE,Result,Average_Fuel_Price
0,01010101,"[2, 1, 1, 1, 1, 1, 1, 1, 0]",1.6045937807725237
1,01010102,"[0, 1, 0, 2]",1.5724598738893665
2,01010104,"[0, 2, 1, 1, 1]",1.5535793662105661
3,01010106,"[0, 1, 2]",1.6295708933717579
4,01010107,"[0, 2, 1]",1.6165168571428572
5,01010109,"[1, 0, 2, 0]",1.6038176959619954
6,01010112,[0],1.771114864864865
7,01010201,"[1, 1, 1, 2, 1, 1, 1, 0]",1.6359496587030715
8,01010205,"[1, 2, 2, 0, 1]",1.6459724288840263
9,01010207,"[0, 1, 2, 0]",1.6637444933920702
10,01010209,"[2, 0, 0, 1]",1.6112282453637659
11,01010210,"[1, 0]",1.5404118804091267
12,01010303,"[1, 0, 2, 2]",1.5713361945636624
13,01010304,"[0, 1, 2, 0, 0]",1.5813356736877298
14,01020101,"[0, 2, 0, 0, 1]",1.6434844640820983
15,01020102,"[1, 0]",1.6570250696378832
16,01020104,"[0, 2, 1, 2]",1.619149344168805
17,01020117,"[1, 0, 1, 1, 2, 1]",1.5554342663273961
18,01020201,"[2, 0, 1, 2, 1]",1.646884163308386
19,01020202,"[1, 0]",1.6391323024054985
20,01020204,"[2, 1, 0, 1, 1]",1.6221256094063665
21,01020207,"[0, 1, 0, 2, 1]",1.6391365787209637
22,01020208,"[1, 2, 1, 0]",1.651195565662308
23,01020209,"[0, 0, 0, 2, 0, 1, 0, 0]",1.6821824786324784
24,01020213,"[2, 0, 1]",1.6432289398280802
25,01030101,"[1, 0, 0, 1, 1, 2]",1.6128459726059554
26,01030102,"[0, 1, 1, 0, 0, 0, 2]",1.787362257792755
27,01030301,"[0, 2, 1, 2, 1, 1]",1.6176479779411768
28,01030302,"[0, 0, 2, 1]",1.6295252100840336
29,01030305,"[1, 2, 1, 0, 1]",1.4827180187207487
30,01030306,"[1, 1, 1, 2, 0]",1.6342151680551564
31,01030307,"[2, 1, 1, 0]",1.5227603174603173
32,01040101,"[0, 1, 0, 2, 0, 0, 1]",1.563051062767475
33,01040103,"[1, 1, 2, 1, 0]",1.55083228788379
34,01040201,"[0, 2, 1]",1.534220009596929
35,01040202,"[1, 0, 2, 0, 2, 2, 2, 2]",1.5479899251583191
36,01040203,"[1, 1, 2, 0]",1.622540586727428
37,01040204,"[0, 1]",1.6039555316091956
38,01040205,"[1, 0, 2, 1]",1.640935483870968
39,01040207,"[1, 1, 1, 0, 2]",1.6315673900628211
40,02010101,"[0, 2, 1, 1]",1.5906596725394644
41,02010104,"[0, 0, 1, 0, 2, 0]",1.5252805640354703
42,02010112,"[2, 1, 0]",1.5803324786324788
43,02010113,"[1, 1, 0, 1, 2, 2, 1]",1.597563493324857
44,02020101,"[1, 1, 1, 1, 2, 0]",1.5831495265151516
45,02020105,"[1, 1, 2, 0]",1.5922552868658133
46,02020201,"[1, 1, 1, 1, 2, 0]",1.5804395461912482
47,02020202,"[1, 1, 1, 2, 0]",1.5938656756756757
48,02020204,"[0, 0, 0, 1, 0, 0, 2, 2]",1.6038083143616013
49,02020205,"[0, 2, 1]",1.5749467107153114
50,02030001,"[1, 0]",1.6427836257309942
51,02030015,"[0, 1]",1.6348080102622577
52,02040103,"[0, 2, 1]",1.5062451361867706
53,02040202,"[0, 0, 2, 1]",1.664838901098901
54,02040204,[0],1.5456425876010782
55,02050101,"[1, 0, 2]",1.6054579057392626
56,02050104,"[1, 0]",1.5688940092165902
57,02050109,"[2, 0, 2, 1]",1.5912312995013203
58,02050201,"[0, 2, 0, 1]",1.5899406828703706
59,02050202,"[0, 1]",1.5709193295292436
60,02050203,"[2, 0, 0, 1]",1.6017496416284402
61,03010101,"[1, 0, 2]",1.6064317046992644
62,03010102,"[2, 1, 0]",1.6129035438164663
63,03010103,"[0, 2, 1, 0]",1.799
64,03010105,"[1, 0]",1.5486080729166667
65,03010301,"[0, 1, 2]",1.621483484977727
66,03010302,"[2, 0, 1]",1.6366655231560894
67,03010305,"[1, 0, 1, 2, 1]",1.6431604042129235
68,03020101,"[1, 0, 2]",1.6433885658980218
69,03020104,"[0, 0, 2, 0, 0, 1]",1.6116604956703493
70,03020114,[0],1.644719599427754
71,03020115,"[1, 0, 2]",1.6286300143266477
72,03020201,[0],1.6526977134146341
73,03020205,"[1, 0]",1.6874253986332572
74,03030101,"[0, 0, 1, 2]",1.633426001500785
75,03030104,"[0, 1, 2]",1.6677115603644648
76,03030105,"[1, 0, 2]",1.7171554109031733
77,03030107,"[2, 0, 1]",1.5482571428571428
78,03030201,"[2, 1, 0]",1.6516195497292676
79,03030203,"[1, 0, 2]",1.6231180239179956
80,03030204,"[0, 1, 1, 2]",1.6532747786346758
81,03030301,"[0, 2, 1]",1.7223307692307694
82,03030304,"[0, 2, 0, 0, 0, 1, 0]",1.671093063088781
83,03030401,"[1, 0, 0, 2]",1.6710105767406567
84,03030402,"[1, 0, 2, 0]",1.666097882083572
85,03030403,"[0, 0, 2, 1]",1.633514403292181
86,03030405,"[0, 0, 0, 2, 1]",1.6671575792178133
87,03030409,"[0, 2, 1, 0, 2]",1.6803025210084035
88,03030412,"[1, 2, 0]",1.6217947740881873
89,03040000,[0],1.8170140160183068
90,03050101,"[1, 2, 0]",1.6648814104385716
91,03050103,"[0, 1]",1.6076590263979564
92,03050201,"[0, 1]",1.567976442033124
93,03050202,"[1, 2, 0]",1.5878354275206865
94,03050206,"[1, 0]",1.6796060908399848
95,03050301,"[0, 1, 2]",1.6308365767045454
96,03050303,"[1, 0]",1.5961145548465512
97,03050304,"[1, 2, 1, 0]",1.6391899800171283
98,04010001,"[1, 0, 2]",1.699029798185295
99,04010002,"[0, 1]",1.6877455840455837
100,04010003,[0],1.7539213451125677
101,04010004,"[2, 0, 1]",1.707257904888383
102,04010008,"[0, 1, 2, 0]",1.6723938517179022
103,04010009,"[1, 2, 0]",1.6915085944919277
104,05010101,"[2, 2, 1, 2, 0]",1.5911764545449296
105,05010102,"[1, 0]",1.5634211281372181
106,05010201,"[0, 0, 2, 1, 0]",1.6100013265112751
107,05010203,"[0, 1, 2, 1]",1.606868555966961
108,05010205,"[2, 1, 2, 0, 2]",1.616549839228296
109,05010208,"[0, 0, 1, 2]",1.6639796238244513
110,05010210,"[2, 1, 0, 1, 1]",1.6006285046728972
111,05010211,"[2, 2, 2, 1, 2, 0]",1.5774117647058823
112,05020101,"[0, 2, 0, 1, 0]",1.6380855261896774
113,05020104,"[2, 2, 0, 1]",1.5017169181659893
114,05020106,"[0, 0, 0, 2, 1]",1.658255438396504
115,05020110,"[0, 0, 1, 2, 0]",1.590716381766382
116,05020111,"[2, 1, 0]",1.600868495877168
117,05020112,"[2, 1, 2, 0]",1.564966533751068
118,05020113,"[2, 0, 1]",1.61504120396735
119,05020201,"[1, 0]",1.6140921277809468
120,05030101,"[0, 0, 0, 0, 1, 2, 2]",1.6020495538960013
121,05030102,"[0, 1, 0, 0, 2]",1.5806386122177953
122,05030103,"[1, 0, 2]",1.6490338741816113
123,05030105,"[0, 0, 2, 2, 2, 1, 0]",1.5745938653791538
124,05030201,"[2, 0, 1, 1]",1.5855232796987333
125,05030203,"[0, 1, 2]",1.6426979196352238
126,05030204,"[2, 1, 0, 2]",1.5915767992424243
127,05030206,"[2, 1, 2, 0, 2]",1.594083973811557
128,05030301,"[1, 0, 2, 0]",1.5543658675799086
129,05030302,"[1, 0, 2]",1.5961403258073736
130,05030304,"[2, 1, 0]",1.4869683836589693
131,05030305,"[2, 0, 0, 1, 0, 0]",1.6754519347037486
132,05030401,"[0, 1, 0, 2, 1, 2]",1.6112788698955365
133,05030402,"[2, 0, 0, 1, 0]",1.60217907444668
134,05030403,"[0, 0, 2, 2, 1]",1.5994304409672833
135,05030501,"[0, 1, 2, 2, 2, 2]",1.6220914581535808
136,05030503,"[2, 0, 0, 1]",1.6022804664723032
137,05030507,"[1, 2, 1, 1, 0]",1.6014840563056592
138,06010101,"[0, 2, 1]",1.6047413972849087
139,06010103,"[0, 1, 2, 1]",1.6129842060330108
140,06010201,"[1, 0]",1.664143757159221
141,06010206,"[1, 0]",1.5738552338530067
142,06020101,"[0, 1, 0, 2]",1.5873305785123968
143,06020102,"[2, 1, 0, 1, 1]",1.5756550474363076
144,06020104,"[1, 1, 0, 1, 2]",1.6655044247787618
145,06020201,"[0, 2, 1, 0]",1.6184710753866764
146,06020204,"[1, 0, 2]",1.6073037841959779
147,06030102,[0],1.6025915813424347
148,06040001,"[0, 2, 1, 2, 2, 2, 2]",1.5938391735458772
149,06040002,"[2, 1, 0, 1, 1]",1.5761216991963263
150,06040004,"[0, 2, 0, 0, 0, 1, 0]",1.617511104783599
151,06040005,"[0, 2, 0, 1, 0]",1.636928469852105
152,06040006,"[2, 0, 1, 0, 0]",1.6240264968213303
153,06040008,"[2, 1, 0]",1.653019998104445
154,07010100,"[0, 0, 0, 2, 0, 0, 1, 0]",1.5893530873022144
155,07020101,"[2, 1, 1, 0, 1, 1]",1.5967049418499901
156,07020201,"[1, 0, 0, 1, 1, 2, 0]",1.5921035759341111
157,07030101,"[1, 2, 0]",1.633782423208191
158,07030103,"[0, 0, 1, 0, 2, 0, 0]",1.7159872146715456
159,07030201,"[0, 2, 1]",1.6613843081312412
160,07030202,"[1, 2, 1, 1, 0]",1.6238739814288423
161,07030301,"[2, 1, 1, 0, 1, 1]",1.5827008352315868
162,07030302,"[0, 2, 1]",1.530810245687402
163,07030305,"[0, 1]",1.58557362574765
164,07030401,"[2, 0, 0, 1]",1.6319862974593207
165,07030403,"[0, 1, 2]",1.7388750000000002
166,07030501,"[0, 1, 0, 2, 0, 0, 0]",1.577236969524352
167,07030503,"[0, 2, 1]",1.581877457965232
168,07030601,"[1, 2, 0]",1.5976685681688532
169,07040101,"[1, 1, 2, 1, 0, 1, 1]",1.5980951951677405
170,07040102,"[1, 2, 2, 1, 2, 0]",1.5693341980364859
171,07040103,"[0, 2, 0, 1, 0]",1.5845787439613526
172,07040104,"[2, 2, 2, 1, 2, 0, 2]",1.579912324177731
173,07040201,"[1, 0, 2, 0]",1.5887514445391684
174,07040202,"[0, 2, 0, 1]",1.5911716077537057
175,07040203,"[0, 1, 2, 1]",1.5818254719065656
176,07040301,"[0, 1, 1, 1, 1, 1, 2, 1, 1]",1.584836671242387
177,07040302,"[2, 0, 0, 1, 0]",1.6104466979550787
178,07050101,"[0, 0, 0, 2, 1, 0]",1.5656814502144027
