,KALCODE,Result,Average_Fuel_Price
0,01010101,"[0, 2, 1]",1.7848051828849925
1,01010102,"[1, 0]",1.6762398781018721
2,01010104,"[1, 2, 0]",1.712063584637269
3,01010107,"[0, 1]",1.8393785246368557
4,01010209,[0],1.33972
5,01010303,[0],1.7828040057224608
6,01020204,[0],1.6943372781065087
7,01030101,"[0, 2, 1]",1.6840521436848204
8,01030301,[0],1.678765721331689
9,01040101,[0],1.8059691679049035
10,01040204,[0],1.487035294117647
11,02010101,"[2, 0, 1, 0]",1.808216381833352
12,02010104,"[1, 2, 1, 1, 0]",1.7048860986547083
13,02010112,"[0, 1]",1.5703615455381785
14,02010113,"[1, 1, 0, 0, 1, 2]",1.7058514056224898
15,02020101,"[2, 0, 1, 1]",1.798866848699004
16,02020202,"[2, 0, 1]",1.925320915224406
17,02020204,"[0, 0, 2, 1, 1, 0]",1.7056523489932887
18,02040202,"[2, 0, 1]",1.8146981132075475
19,02040204,[0],1.7085605326876516
20,02050101,[0],1.788439740655988
21,02050202,[0],1.7577742663656883
22,02050203,"[0, 1]",1.6152699957680914
23,03010101,"[1, 0]",1.7881063061069262
24,03010102,"[0, 1]",1.8178267195767195
25,03020101,"[1, 0]",1.8335913574847926
26,03020104,"[1, 0, 2, 0, 1]",1.9915555555555553
27,03020115,"[2, 1, 0]",1.6683152866242041
28,03030101,"[2, 0, 1]",1.8173364900923037
29,03030104,"[0, 1, 2]",1.8467464788732397
30,03030201,"[2, 1, 0]",1.6970386473429948
31,03030203,"[0, 1]",1.795400853485064
32,03030401,"[1, 0]",1.6014778274321075
33,03030412,"[0, 1]",1.8087782680639823
34,03040000,[0],1.8320769230769236
35,03050101,"[0, 1]",1.8962533390167662
36,03050103,"[0, 1]",1.7992798305016018
37,03050201,[0],1.56
38,03050301,[0],1.737664485165794
39,03050303,[0],1.7396554216867468
40,04010001,"[0, 1]",1.8179169270093725
41,04010002,"[1, 0]",1.9173722316865418
42,04010004,"[0, 1]",1.821709031525135
43,04010009,"[1, 0]",1.980842239909039
44,05010101,"[0, 2, 0, 1]",1.750307166868997
45,05010102,[0],1.5980820034197778
46,05010208,"[1, 0]",1.964847534910231
47,05010210,"[0, 2, 1]",1.8518349313633031
48,05010211,"[0, 0, 2, 1]",1.769671755725191
49,05020101,"[1, 0]",1.8627519719620274
50,05020110,"[0, 1]",1.7041360655737707
51,05020111,"[0, 1]",1.924449522852838
52,05020201,[0],1.8357720943449845
53,05030101,"[1, 2, 0]",1.8289329197057247
54,05030102,"[0, 2, 0, 2, 1]",1.7593144694381169
55,05030105,"[2, 0, 0, 0, 1]",1.7428483106189667
56,05030203,"[0, 1]",1.7236207386363638
57,05030204,"[2, 1, 0]",2.0050040567951317
58,05030501,[0],1.7005092936802975
59,06010101,"[1, 0]",1.774205821269587
60,06010103,"[0, 1, 2]",1.8511100056850485
61,06020101,"[1, 0]",1.7696697064690796
62,06020201,"[0, 1]",1.8094605580800907
63,06020204,"[0, 1]",1.6231191275167784
64,06030102,[0],1.745031045751634
65,06040008,"[1, 0]",1.970215122927387
66,07010100,"[2, 2, 2, 2, 0, 2, 1, 2]",1.7465721542445025
67,07020101,"[1, 0, 2, 1, 1, 1]",1.820652357881137
68,07020201,"[0, 0, 2, 0, 0, 0, 1]",1.749491223119549
69,07030101,"[1, 0]",1.8740101082004557
70,07030103,"[2, 1, 0, 1]",1.9142846862320464
71,07030201,"[1, 0, 2]",1.8567620396600568
72,07030202,"[1, 2, 1, 0]",1.8562967803030306
73,07030501,"[1, 0, 2, 2, 0]",1.740838865248227
74,07030503,"[0, 1, 2]",1.7237933753943218
75,07040101,"[0, 0, 0, 1, 0, 0, 2]",1.7869773683511776
76,07040102,"[0, 0, 0, 2, 0, 1]",1.7544331936835533
77,07040103,"[2, 1, 1, 1, 0]",1.7827617443215826
78,07040104,"[2, 2, 2, 2, 0, 2, 1]",1.7160129081245257
79,07040201,"[1, 0, 0, 2]",1.893380505825519
80,07040203,"[2, 0, 0, 1]",1.7297579331249409
81,07040301,"[1, 0, 0, 0, 2, 2, 0, 0]",1.7980714032349605
82,07040302,"[1, 1, 0, 2]",1.8810025813113058
83,07050101,"[2, 1, 1, 1, 0, 1]",1.750493705328991
84,07050102,"[0, 2, 1, 0, 0]",1.7667832481786356
85,07050103,"[0, 1, 2, 2, 2]",1.7746504044848141
86,07050201,"[1, 1, 1, 2, 1, 1, 0, 1, 1, 1]",1.7820772152797502
87,07050301,"[2, 1, 0, 1]",1.7375522270505162
88,07050303,"[0, 2, 1, 0, 2]",1.967270807581376
89,07060101,"[0, 0, 1, 0, 2, 0, 0, 0]",1.7565557993736194
90,07060102,"[0, 1, 0, 2, 0]",1.8001460403065568
91,07060103,"[0, 2, 0, 0, 0, 1, 0, 0]",1.7715721149294705
92,07060104,"[2, 1, 2, 2, 2, 1, 0, 2, 2]",1.7335320475291156
93,07060201,"[1, 0, 1, 2, 1, 1, 1]",1.7490809523809523
94,07060202,"[0, 1, 1, 2, 1, 1]",1.7073703703703702
95,07060203,"[0, 0, 0, 1, 0, 0, 2, 0]",1.730983256351039
96,07060206,"[2, 0, 1, 0]",1.682643121617773
97,07060301,"[0, 0, 1, 0, 0, 0, 0, 2, 0]",1.7577034633569741
98,07060302,"[1, 0, 1, 2]",1.7014590163934424
99,07060303,"[1, 1, 0, 1, 2, 1]",1.7151310893747607
100,07060304,"[2, 1, 0, 1]",1.7335866408518879
101,07070000,"[0, 1, 2]",1.7655200398184574
102,07080101,"[2, 0, 1, 1, 0, 1]",1.7635153643361554
103,07090101,"[0, 2, 2, 2, 0, 1]",1.7424636798258069
104,07090103,"[0, 0, 2, 1, 0]",1.7987613104524178
105,07090105,"[1, 2, 0, 0]",1.7717312196515282
