gasStationID,ddName_01,municipalityName_01,KOD_01,KOD_11,ddName_11,dd_population_11,municipalityCode_11,municipalityName_11,lat_11,lon_11,municipality_population_11,KOD_21,ddName_21,dd_population_21,municipalityCode_21,municipalityName_21,municipality_population_21
2291,Δ.Δ. Αγγελοκάστρου,ΔΗΜΟΣ ΑΓΓΕΛΟΚΑΣΤΡΟΥ,01020100,38030201,Τοπική Κοινότητα Αγγελοκάστρου,1297,3803,Δήμος Αγρινίου,38.5646337716,21.2941746598,92608,38020201,Δημοτική Κοινότητα Αγγελοκάστρου,1099,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
4185,Δ.Δ. Αγγελοκάστρου,ΔΗΜΟΣ ΑΓΓΕΛΟΚΑΣΤΡΟΥ,01020100,38030201,Τοπική Κοινότητα Αγγελοκάστρου,1297,3803,Δήμος Αγρινίου,38.5646337716,21.2941746598,92608,38020201,Δημοτική Κοινότητα Αγγελοκάστρου,1099,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
3563,Δ.Δ. Αγγελοκάστρου,ΔΗΜΟΣ ΑΓΓΕΛΟΚΑΣΤΡΟΥ,01020100,38030201,Τοπική Κοινότητα Αγγελοκάστρου,1297,3803,Δήμος Αγρινίου,38.5646337716,21.2941746598,92608,38020201,Δημοτική Κοινότητα Αγγελοκάστρου,1099,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
13038,Δ.Δ. Αγίου Κωνσταντίνου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030200,38030102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6426,3803,Δήμος Αγρινίου,38.6309762077,21.3950230523,92608,38020102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6194,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
13106,Δ.Δ. Αγίου Κωνσταντίνου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030200,38030102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6426,3803,Δήμος Αγρινίου,38.6309762077,21.3950230523,92608,38020102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6194,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1332,Δ.Δ. Αγίου Κωνσταντίνου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030200,38030102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6426,3803,Δήμος Αγρινίου,38.6309762077,21.3950230523,92608,38020102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6194,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
10960,Δ.Δ. Αγίου Κωνσταντίνου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030200,38030102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6426,3803,Δήμος Αγρινίου,38.6309762077,21.3950230523,92608,38020102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6194,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
10556,Δ.Δ. Αγίου Κωνσταντίνου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030200,38030102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6426,3803,Δήμος Αγρινίου,38.6309762077,21.3950230523,92608,38020102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6194,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
17,Δ.Δ. Αγίου Κωνσταντίνου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030200,38030102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6426,3803,Δήμος Αγρινίου,38.6309762077,21.3950230523,92608,38020102,Δημοτική Κοινότητα Αγίου Κωνσταντίνου,6194,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1331,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
2297,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1328,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
3564,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
13303,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1324,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
1322,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
9557,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
10861,Δ.Δ. Αγρινίου,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,01030100,38030101,Δημοτική Κοινότητα Αγρινίου,47565,3803,Δήμος Αγρινίου,38.6247482727,21.4079066549,92608,38020101,Δημοτική Κοινότητα Αγρινίου,50690,3802,ΔΗΜΟΣ ΑΓΡΙΝΙΟΥ,89691
